№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
401,data_for_algoritm_16245.json,G35433420 Flexiform Atechwool 1200x600x30,2280,1220,2350,1,6.5368,6.54,6.0,Фургон
402,data_for_algoritm_16174.json,G35421503 Ecophon Focus Ds XL 1600x600x20mm Write Frost,2460,1270,2310,17,7.2169,122.69,241.4,Спецтранспорт
403,data_for_algoritm_15404.json,Корм дкош WHISKAS Рагу с инд и крол 75г,385,98,143,2,0.0054,0.01,4.65,Европаллета
404,data_for_algoritm_16037.json,ЛИДСКИЙ Квас ХЛЕБНЫЙ ПЭТ 1.5л,200,290,330,50,0.0191,0.96,275.0,Европаллета
405,data_for_algoritm_17213.json,30. (R13D) Упаковка гранитного пола,1470,1150,265,2,0.448,0.9,200.0,Европаллета
406,data_for_algoritm_16148.json,26300340 Профиль Flexiform 0340,2400,15,15,576,0.0005,0.31,230.4,Европаллета
407,data_for_algoritm_16881.json,А74,1200,1100,800,1,1.056,1.06,360.0,Европаллета
408,data_for_algoritm_16222.json,26338112 Connect T24 Corridor profile 1800mm,1851,114,96,1,0.0203,0.02,7.0,Европаллета
409,data_for_algoritm_16878.json,А66,1200,900,750,1,0.81,0.81,320.0,Европаллета
410,data_for_algoritm_15999.json,Зеркало Гримерное напольное белое 60х175 (20 ламп),50,680,1830,3,0.0622,0.19,49.5,Европаллета
411,data_for_algoritm_15405.json,Жмыло AURA Ромашка с антибак. эфф500мл,360,220,295,1,0.0234,0.02,6.8,Европаллета
412,data_for_algoritm_15481.json,А237,4040,2040,1260,1,10.3844,10.38,2.04,Фургон
413,data_for_algoritm_16901.json,Вода пит СВЯТОЙ ИСТОЧНИК нгаз 5L ПЭТ,306,154,320,3,0.0151,0.05,31.02,Европаллета
414,data_for_algoritm_16727.json,деревянный ящик,1000,900,800,12,0.72,8.64,1140.0,Фургон
415,data_for_algoritm_15458.json,"Молоко 365 ДНЕЙ упаст. 2,5% ТФА 900мл",420,240,200,1,0.0202,0.02,11.4,Европаллета
416,data_for_algoritm_16043.json,ШИШКИН ЛЕС Вода питьевая 19л,360,563,460,30,0.0932,2.8,570.0,Фургон
417,data_for_algoritm_16881.json,А36,1100,950,1100,1,1.1495,1.15,320.0,Европаллета
418,data_for_algoritm_11834.json,7,159,108,146,1,0.0025,0.0,0.84,Европаллета
419,data_for_algoritm_16072.json,опалубка,3300,1200,100,285,0.396,112.86,47025.0,Спецтранспорт
420,data_for_algoritm_15968.json,АЙ - ТЕКО 113,1400,800,2000,4,2.24,8.96,800.0,Фургон
421,data_for_algoritm_15483.json,А143,2540,1640,1260,1,5.2487,5.25,550.0,Фургон
422,data_for_algoritm_16935.json,8074,610,1100,1600,30,1.0736,32.21,3060.0,Фура 13.6 м
423,data_for_algoritm_16218.json,G35421504 Ecophon Focus Ds XL 1800x600x20mm Write Frost,2280,1290,2310,3,6.7942,20.38,48.6,Фура 13.6 м
424,data_for_algoritm_17095.json,Д,4400,1600,1400,3,9.856,29.57,2100.0,Фура 13.6 м
425,data_for_algoritm_16958.json,р,510,510,1080,1,0.2809,0.28,5.0,Европаллета
426,data_for_algoritm_16958.json,х,670,590,2040,1,0.8064,0.81,50.0,Европаллета
427,data_for_algoritm_15483.json,А201,3240,1640,1260,1,6.6951,6.7,652.0,Фургон
428,data_for_algoritm_17215.json,10. Упаковка оборудования МП...,1290,530,660,1,0.4512,0.45,160.0,Европаллета
429,data_for_algoritm_17108.json,8,4530,560,440,1,1.1162,1.12,90.0,Европаллета
430,data_for_algoritm_15457.json,Драже M&MS С арахисом 360г,384,194,182,1,0.0136,0.01,5.48,Европаллета
431,data_for_algoritm_15216.json,166,297,166,265,2,0.0131,0.03,35.31,Европаллета
432,data_for_algoritm_15916.json,Дп каша ФРУТОНЯНЯ мол-овс с банан 200мл,254,174,114,1,0.005,0.01,4.03,Европаллета
433,data_for_algoritm_17217.json,7. (R13D) Упаковка электропроводки №2,1200,1200,400,2,0.576,1.15,180.0,Европаллета
434,data_for_algoritm_16326.json,Камнеот,2600,1800,2300,1,10.764,10.76,900.0,Фургон
435,data_for_algoritm_15217.json,105,236,171,112,2,0.0045,0.01,66.48,Европаллета
