file,total_count,total_vol_m3,total_mass,missing_sizes,space_vol_m3,computed_fill_percent,flag
data_for_algoritm_15044.json,25,31.681358,6230.0,0,91.63,34.575,OK
data_for_algoritm_15045.json,25,31.681358,6230.0,0,91.63,34.575,OK
data_for_algoritm_15046.json,25,31.681358,6230.0,0,91.63,34.575,OK
data_for_algoritm_15073.json,9,14.001736,4397.0,0,91.63,15.281,OK
data_for_algoritm_15077.json,35,3.742452,1148.0,0,91.63,4.084,LOW_FILL
data_for_algoritm_15078.json,10,1.069272,328.0,0,91.63,1.167,LOW_FILL
data_for_algoritm_15079.json,35,3.742452,1148.0,0,91.63,4.084,LOW_FILL
data_for_algoritm_15080.json,35,3.742452,1148.0,0,91.63,4.084,LOW_FILL
data_for_algoritm_15082.json,35,3.742452,1148.0,0,91.63,4.084,LOW_FILL
data_for_algoritm_15083.json,355,8.760496,2747.0,0,91.63,9.561,OK
data_for_algoritm_15129.json,10,0.1581,100.0,0,91.63,0.173,LOW_FILL
data_for_algoritm_15134.json,40,0.2976,400.0,0,91.63,0.325,LOW_FILL
data_for_algoritm_15135.json,60,0.00624,0.9,0,91.63,0.007,LOW_FILL
data_for_algoritm_15140.json,40,0.2976,400.0,0,91.63,0.325,LOW_FILL
data_for_algoritm_15159.json,151,2.207794,151.0,0,91.63,2.409,LOW_FILL
data_for_algoritm_15160.json,151,2.207794,151.0,0,91.63,2.409,LOW_FILL
data_for_algoritm_15161.json,35,516.521201,68390.0,0,91.63,563.703,OK
data_for_algoritm_15173.json,35,516.521201,68390.0,0,91.63,563.703,OK
data_for_algoritm_15174.json,35,516.521201,68483.0,0,91.63,563.703,OK
data_for_algoritm_15183.json,300,9.0,6210.0,0,91.63,9.822,OK
data_for_algoritm_15186.json,1200,36.0,24840.0,0,91.63,39.288,OK
data_for_algoritm_15190.json,1500,45.0,31050.0,0,91.63,49.111,OK
data_for_algoritm_15198.json,17,90.642122,17181.0,0,91.63,98.922,OK
data_for_algoritm_15211.json,25,47.498927,12798.0,0,91.63,51.838,OK
data_for_algoritm_15212.json,25,47.498927,12798.0,0,91.63,51.838,OK
data_for_algoritm_15215.json,1785,172.52375,25272.0,0,91.63,188.283,OK
data_for_algoritm_15216.json,524,3.996163,6218460.753,0,91.63,4.361,LOW_FILL
data_for_algoritm_15217.json,524,3.996163,6218460.753,0,91.63,4.361,LOW_FILL
data_for_algoritm_15234.json,44,13.280628,1120.0,0,91.63,14.494,OK
data_for_algoritm_15253.json,44,13.280628,1120.0,0,91.63,14.494,OK
data_for_algoritm_15254.json,44,13.280628,1120.0,0,91.63,14.494,OK
data_for_algoritm_15255.json,44,13.280628,1120.0,0,91.63,14.494,OK
data_for_algoritm_15275.json,50,30.317125,3187.0,0,91.63,33.086,OK
data_for_algoritm_15277.json,19,2.049484,344.8,0,91.63,2.237,LOW_FILL
data_for_algoritm_15297.json,44,13.280628,1120.0,0,91.63,14.494,OK
data_for_algoritm_15313.json,30,42.12,30000.0,0,91.63,45.967,OK
data_for_algoritm_15316.json,30,42.12,30000.0,0,91.63,45.967,OK
data_for_algoritm_15317.json,28,39.312,28000.0,0,91.63,42.903,OK
data_for_algoritm_15318.json,27,37.908,26460.0,0,91.63,41.371,OK
data_for_algoritm_15323.json,33,32.013553,5848.0,0,91.63,34.938,OK
data_for_algoritm_15324.json,33,32.013553,5848.0,0,91.63,34.938,OK
data_for_algoritm_15325.json,5,63.522,5320.0,0,91.63,69.324,OK
data_for_algoritm_15326.json,36,52.46,7280.0,0,91.63,57.252,OK
data_for_algoritm_15327.json,14,105.002,11070.0,0,91.63,114.593,OK
data_for_algoritm_15328.json,14,105.002,11070.0,0,91.63,114.593,OK
data_for_algoritm_15335.json,32,49.22,6880.0,0,91.63,53.716,OK
data_for_algoritm_15340.json,520,42.1,61400.0,0,91.63,45.946,OK
data_for_algoritm_15341.json,700,218.5,20000.0,0,91.63,238.459,OK
data_for_algoritm_15342.json,800,223.0,21200.0,0,91.63,243.37,OK
data_for_algoritm_15346.json,700,218.5,20000.0,0,91.63,238.459,OK
data_for_algoritm_15349.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15355.json,28,70.364,4200.0,0,91.63,76.791,OK
data_for_algoritm_15361.json,136,17.636051,2574.6,0,91.63,19.247,OK
data_for_algoritm_15363.json,2,1.22688,96.0,0,91.63,1.339,LOW_FILL
data_for_algoritm_15364.json,2,1.22688,96.0,0,91.63,1.339,LOW_FILL
data_for_algoritm_15372.json,86,11.608054,1607.8,0,91.63,12.668,OK
data_for_algoritm_15374.json,32,49.22,6880.0,0,91.63,53.716,OK
data_for_algoritm_15380.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15386.json,88,0.65472,880.0,0,91.63,0.715,LOW_FILL
data_for_algoritm_15388.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15389.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15391.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15398.json,14,26.16,2220.0,0,91.63,28.55,OK
data_for_algoritm_15399.json,14,36.96,2220.0,0,91.63,40.336,OK
data_for_algoritm_15400.json,26,44.88575,6660.0,0,91.63,48.986,OK
data_for_algoritm_15402.json,92,1.440875,297.215,0,91.63,1.572,LOW_FILL
data_for_algoritm_15403.json,92,1.440875,297.215,0,91.63,1.572,LOW_FILL
data_for_algoritm_15404.json,92,1.440875,297.215,0,91.63,1.572,LOW_FILL
data_for_algoritm_15405.json,92,1.440875,297.215,0,91.63,1.572,LOW_FILL
